Property_ID,Location,BHK,Bathrooms,Furnishing_Status,Super_Builtup_Area,Carpet_Area,Property_Type,Age_of_Property,Floor,Total_Floors,Parking,Power_Backup,Gated_Security,Nearby_Metro,Nearby_School,Nearby_Hospital,Price_in_Lakhs
PROP0204,Palam Vihar,1,1,Semi-Furnished,3847,3247,Studio,18,12,19,1,Yes,No,3.91,0.2,1.39,265.56
PROP0205,Palam Vihar,2,4,Fully-Furnished,3402,2797,Builder Floor,18,1,5,0,Yes,Yes,2.55,1.54,0.29,368.36
PROP0206,Palam Vihar,3,1,Semi-Furnished,4563,3784,Independent House,15,15,24,0,No,No,1.85,1.71,1.6,575.06
PROP0207,Palam Vihar,5,1,Unfurnished,4358,3516,Independent House,18,5,7,3,Yes,Yes,1.46,1.72,3.75,572.58
PROP0208,Palam Vihar,1,1,Unfurnished,2123,1698,Builder Floor,8,18,27,0,Yes,No,3.25,2.15,0.33,214.83
PROP0209,Sushant Lok,1,1,Semi-Furnished,1960,1592,Apartment,0,12,15,1,No,No,3.49,0.61,1.17,201.93
PROP0210,Sushant Lok,1,3,Unfurnished,4922,4110,Studio,9,16,18,0,Yes,No,4.37,0.83,3.56,341.22
PROP0211,Sector 57,1,1,Unfurnished,3014,2426,Studio,18,8,12,2,No,Yes,1.78,2.45,3.93,266.33
PROP0212,Sector 56,1,3,Fully-Furnished,4606,3894,Apartment,0,16,21,2,Yes,No,3.87,2.85,2.33,792.29
PROP0213,Golf Course Road,2,4,Semi-Furnished,1488,1206,Builder Floor,1,1,3,1,No,Yes,2.85,0.49,3.52,231.54
PROP0214,Palam Vihar,5,2,Semi-Furnished,3499,2834,Studio,15,18,19,2,No,Yes,4.43,1.54,2.0,349.23
PROP0215,Sector 45,3,1,Fully-Furnished,4201,3398,Builder Floor,11,18,23,3,No,Yes,2.69,0.72,0.88,819.09
PROP0216,Golf Course Road,3,2,Unfurnished,4779,3826,Builder Floor,7,6,15,0,No,Yes,2.64,0.27,2.05,656.84
PROP0217,Sushant Lok,3,2,Unfurnished,2216,1858,Independent House,17,9,14,1,Yes,No,2.93,1.04,2.94,218.68
PROP0218,Sector 45,3,4,Semi-Furnished,3844,3243,Apartment,1,9,18,3,Yes,No,3.77,0.52,4.75,738.34
PROP0219,Sector 45,2,2,Unfurnished,3063,2544,Builder Floor,12,19,25,0,No,No,4.83,2.16,0.44,402.89
PROP0220,Sector 45,4,3,Fully-Furnished,1054,853,Penthouse,5,8,11,3,Yes,Yes,0.46,1.65,2.59,372.73
PROP0221,Sector 57,5,2,Fully-Furnished,3697,3010,Apartment,5,16,20,1,Yes,No,0.36,0.52,1.71,897.14
PROP0222,Sushant Lok,1,2,Semi-Furnished,3698,3046,Studio,8,14,18,1,Yes,Yes,4.69,0.13,2.59,306.38
PROP0223,Sector 45,4,2,Fully-Furnished,4708,3991,Independent House,15,1,2,3,No,Yes,2.7,2.44,0.22,1036.94
PROP0224,Palam Vihar,3,1,Fully-Furnished,2888,2346,Studio,10,3,6,0,Yes,Yes,3.11,0.61,1.63,340.96
PROP0225,DLF Phase 1,4,1,Semi-Furnished,1767,1478,Studio,6,18,21,2,Yes,No,2.46,1.86,4.12,176.93
PROP0226,Sector 45,5,3,Fully-Furnished,987,811,Apartment,9,16,17,2,No,No,0.56,1.08,2.81,206.34
PROP0227,Sector 57,1,3,Fully-Furnished,2545,2073,Studio,9,4,13,3,Yes,Yes,3.86,1.8,2.31,355.6
PROP0228,Golf Course Road,1,1,Fully-Furnished,2068,1701,Builder Floor,19,6,7,1,No,No,3.76,1.02,1.5,193.09
PROP0229,Sushant Lok,5,3,Unfurnished,3996,3211,Studio,17,17,26,0,No,No,1.63,0.35,1.56,314.85
PROP0230,Sector 57,5,1,Semi-Furnished,2287,1920,Independent House,19,6,7,0,No,Yes,1.6,0.75,1.98,441.97
PROP0231,Sector 45,3,4,Semi-Furnished,4786,3887,Independent House,8,16,18,1,Yes,Yes,4.21,0.65,4.19,1070.19
PROP0232,Sushant Lok,1,2,Semi-Furnished,4841,4048,Penthouse,14,6,8,2,Yes,No,0.45,1.34,4.84,575.9
PROP0233,DLF Phase 1,4,2,Unfurnished,3407,2737,Independent House,3,3,9,0,No,Yes,4.42,2.01,2.25,467.01
PROP0234,Sector 45,2,3,Unfurnished,4700,3984,Studio,7,7,14,3,No,Yes,1.36,0.87,2.03,645.21
PROP0235,Sector 57,2,1,Semi-Furnished,3995,3234,Independent House,8,12,13,2,No,No,3.01,0.14,4.25,760.46
PROP0236,Sector 56,5,1,Unfurnished,3096,2613,Apartment,12,3,6,3,No,No,4.69,1.6,2.19,436.4
PROP0237,Palam Vihar,3,3,Semi-Furnished,1557,1308,Independent House,8,5,7,2,No,Yes,3.42,1.86,2.8,235.9
PROP0238,Golf Course Road,2,1,Unfurnished,2726,2312,Builder Floor,3,4,12,1,No,No,2.13,2.89,1.23,357.3
PROP0239,Sector 57,1,4,Fully-Furnished,3155,2599,Apartment,16,11,20,3,Yes,Yes,3.48,1.81,3.74,403.5
PROP0240,Sushant Lok,5,2,Fully-Furnished,4428,3703,Penthouse,15,3,5,3,No,Yes,1.79,1.47,2.71,756.84
PROP0241,Sector 45,4,3,Semi-Furnished,2821,2309,Builder Floor,14,8,10,1,No,No,1.46,1.76,4.06,469.07
PROP0242,Palam Vihar,5,3,Unfurnished,4570,3698,Studio,2,3,12,3,No,Yes,4.98,2.79,3.93,543.75
PROP0243,Sector 45,4,1,Unfurnished,3632,2986,Studio,19,18,22,2,Yes,Yes,3.78,2.5,1.15,415.24
PROP0244,Sushant Lok,5,3,Fully-Furnished,1375,1111,Studio,4,13,18,0,Yes,Yes,3.26,1.04,3.61,187.73
PROP0245,Sector 45,5,4,Fully-Furnished,4978,4226,Builder Floor,4,4,13,0,Yes,No,1.84,0.79,4.02,1301.13
PROP0246,Sector 56,5,1,Unfurnished,3014,2425,Builder Floor,19,17,23,1,Yes,No,0.34,0.86,1.8,443.8
PROP0247,Palam Vihar,4,1,Unfurnished,2445,2028,Builder Floor,14,9,18,2,No,No,0.25,1.56,0.95,273.49
PROP0248,Palam Vihar,4,1,Unfurnished,3568,2966,Apartment,17,18,27,3,Yes,Yes,2.82,2.26,0.11,348.19
PROP0249,Sushant Lok,5,1,Unfurnished,1257,1039,Apartment,14,11,18,3,No,Yes,3.83,1.56,2.31,117.95
PROP0250,Golf Course Road,2,4,Unfurnished,3473,2893,Studio,1,17,26,0,No,No,2.73,0.3,1.83,391.27
PROP0251,Sector 56,3,1,Unfurnished,2892,2330,Independent House,12,16,21,3,No,No,4.22,2.2,2.82,458.24
PROP0252,Sector 57,3,3,Semi-Furnished,2508,2075,Studio,3,10,15,0,No,No,0.26,2.44,1.02,428.34
PROP0253,Sector 45,3,4,Unfurnished,4802,3910,Penthouse,9,2,10,1,No,Yes,1.9,0.94,4.31,1095.39
PROP0254,DLF Phase 1,4,2,Fully-Furnished,2994,2535,Apartment,12,16,20,3,No,No,1.26,2.03,1.36,314.7
PROP0255,Sector 45,4,2,Semi-Furnished,1720,1441,Builder Floor,9,0,9,2,Yes,Yes,2.29,1.34,1.21,365.0
PROP0256,Sector 45,2,3,Unfurnished,2727,2314,Apartment,8,14,21,3,Yes,No,0.45,2.68,2.46,404.54
PROP0257,Sector 57,3,3,Fully-Furnished,4661,3737,Builder Floor,7,8,15,0,Yes,Yes,4.78,2.55,2.54,957.28
PROP0258,Sector 45,3,4,Semi-Furnished,1539,1253,Penthouse,2,14,17,1,Yes,Yes,1.19,1.62,1.15,494.21
PROP0259,Sector 56,5,2,Fully-Furnished,1698,1374,Penthouse,15,2,6,0,Yes,No,4.62,2.11,1.43,418.35
PROP0260,Sector 56,4,2,Unfurnished,854,683,Apartment,13,18,25,3,No,Yes,2.19,2.66,0.93,121.44
PROP0261,Palam Vihar,3,2,Unfurnished,859,697,Builder Floor,8,12,17,0,Yes,No,4.93,1.54,3.62,96.37
PROP0262,Sushant Lok,2,2,Unfurnished,4283,3571,Penthouse,10,11,14,0,Yes,Yes,2.81,1.01,3.87,569.07
PROP0263,Golf Course Road,2,2,Unfurnished,3874,3143,Studio,2,19,20,1,Yes,Yes,4.66,2.29,2.37,440.65
PROP0264,DLF Phase 1,3,1,Semi-Furnished,2291,1891,Studio,4,0,7,2,No,No,0.13,0.74,3.6,226.24
PROP0265,Sector 45,4,3,Semi-Furnished,3732,3151,Builder Floor,9,16,22,3,No,Yes,3.77,1.23,3.71,713.16
PROP0266,Sector 45,2,1,Fully-Furnished,2459,2052,Apartment,12,12,19,1,No,No,4.52,2.61,0.78,352.43
PROP0267,Sector 57,5,2,Unfurnished,4802,3936,Penthouse,3,0,2,2,Yes,No,0.78,2.2,4.83,1435.92
PROP0268,Sushant Lok,2,4,Fully-Furnished,4861,3979,Apartment,12,9,13,0,Yes,No,0.57,1.27,4.12,487.11
PROP0269,Sector 56,1,4,Semi-Furnished,2449,2015,Studio,11,14,16,2,Yes,Yes,2.18,0.72,1.1,305.33
PROP0270,DLF Phase 1,1,2,Unfurnished,4387,3548,Penthouse,4,6,14,0,Yes,Yes,4.68,1.13,1.01,569.19
PROP0271,Palam Vihar,4,2,Unfurnished,4046,3365,Apartment,9,17,24,0,Yes,Yes,2.76,0.92,0.72,494.87
PROP0272,Sector 56,3,4,Semi-Furnished,2101,1719,Independent House,8,15,16,1,No,No,2.68,0.61,0.78,434.09
PROP0273,Sushant Lok,4,1,Semi-Furnished,1774,1494,Builder Floor,19,13,15,0,Yes,No,0.79,2.26,3.77,168.76
PROP0274,Golf Course Road,4,1,Semi-Furnished,2724,2282,Builder Floor,6,17,19,1,No,Yes,0.1,0.83,2.4,473.79
PROP0275,Palam Vihar,4,2,Semi-Furnished,4081,3389,Independent House,1,6,10,2,Yes,Yes,4.07,1.42,3.94,798.46
PROP0276,Golf Course Road,4,1,Semi-Furnished,4832,3953,Studio,6,16,19,2,No,No,0.53,1.22,3.76,637.67
PROP0277,Sector 57,5,4,Unfurnished,4007,3247,Penthouse,7,17,18,0,No,Yes,3.21,2.95,3.06,1053.34
PROP0278,Sector 57,5,1,Semi-Furnished,4391,3683,Builder Floor,6,11,13,1,No,No,4.58,1.23,3.46,892.75
PROP0279,Sector 45,2,2,Unfurnished,3332,2746,Independent House,13,7,16,0,No,Yes,1.12,0.33,0.19,585.22
PROP0280,Golf Course Road,1,4,Unfurnished,4308,3494,Independent House,18,1,2,1,Yes,No,3.36,0.36,1.63,435.41
PROP0281,Sushant Lok,4,1,Semi-Furnished,4094,3315,Studio,4,6,15,1,Yes,Yes,0.49,1.81,3.23,504.6
PROP0282,DLF Phase 1,2,3,Semi-Furnished,2383,1926,Studio,17,3,10,1,Yes,Yes,3.06,1.84,0.15,165.65
PROP0283,Palam Vihar,1,4,Unfurnished,3118,2615,Apartment,19,17,19,2,No,No,0.9,1.31,0.26,213.73
PROP0284,Sector 56,3,4,Semi-Furnished,4179,3391,Builder Floor,11,5,7,1,Yes,No,3.71,1.35,4.27,667.31
PROP0285,Sushant Lok,5,3,Semi-Furnished,993,820,Apartment,16,8,13,2,Yes,No,1.58,0.26,3.45,101.66
PROP0286,Sushant Lok,1,3,Semi-Furnished,4193,3449,Independent House,12,8,13,1,Yes,Yes,2.37,1.6,1.4,475.96
PROP0287,Sector 57,3,4,Fully-Furnished,1547,1282,Penthouse,1,13,17,2,Yes,No,3.04,1.56,3.47,488.55
PROP0288,Golf Course Road,1,3,Unfurnished,2961,2498,Penthouse,12,7,10,3,No,No,0.94,0.53,3.98,400.29
PROP0289,Sector 45,5,2,Fully-Furnished,4194,3537,Studio,6,18,22,2,No,Yes,3.73,0.4,1.6,848.34
PROP0290,Sector 45,5,2,Semi-Furnished,1866,1534,Penthouse,9,2,6,2,Yes,No,1.58,0.46,0.28,569.5
PROP0291,Palam Vihar,2,2,Fully-Furnished,1832,1467,Penthouse,5,17,19,0,Yes,No,3.35,0.39,4.67,344.5
PROP0292,Sector 57,4,4,Semi-Furnished,2491,2045,Penthouse,2,4,9,1,Yes,No,0.88,1.87,1.79,807.03
PROP0293,Sushant Lok,1,3,Fully-Furnished,4557,3783,Independent House,2,13,18,3,No,Yes,3.47,0.67,0.62,674.75
PROP0294,DLF Phase 1,1,3,Semi-Furnished,801,663,Penthouse,17,3,8,0,No,Yes,0.73,0.83,2.51,83.88
PROP0295,Sector 57,3,1,Fully-Furnished,4585,3817,Penthouse,10,6,7,1,No,Yes,2.18,0.6,3.87,1210.37
PROP0296,Palam Vihar,5,1,Fully-Furnished,1445,1167,Penthouse,19,19,25,3,Yes,No,1.31,2.88,1.19,246.8
PROP0297,Palam Vihar,1,3,Fully-Furnished,4958,4126,Apartment,4,11,13,3,No,Yes,3.77,2.58,1.42,583.72
PROP0298,Sector 57,5,3,Unfurnished,4810,3891,Independent House,18,1,8,3,No,No,1.38,0.77,1.29,840.25
PROP0299,Palam Vihar,1,3,Fully-Furnished,2877,2409,Studio,18,10,14,1,No,No,4.42,1.05,4.96,194.99
PROP0300,Sector 57,2,4,Unfurnished,2953,2412,Apartment,14,13,18,3,No,No,4.47,0.71,1.07,335.38
PROP0301,Sector 56,4,3,Semi-Furnished,2822,2357,Builder Floor,15,15,20,3,No,Yes,1.06,1.53,2.92,466.08
PROP0302,Sector 57,1,1,Fully-Furnished,3468,2782,Independent House,8,19,24,0,Yes,Yes,3.11,0.16,4.63,723.23
PROP0303,Golf Course Road,5,4,Semi-Furnished,1181,968,Independent House,3,5,7,2,Yes,No,0.53,2.05,0.82,276.45
PROP0304,Sector 57,2,3,Semi-Furnished,936,781,Builder Floor,14,3,8,1,Yes,No,2.02,1.62,4.86,135.62
PROP0305,Palam Vihar,1,1,Fully-Furnished,1042,845,Builder Floor,11,14,17,2,Yes,Yes,3.6,2.71,4.74,116.36
PROP0306,Golf Course Road,3,4,Unfurnished,2666,2238,Builder Floor,2,0,4,0,No,Yes,3.33,0.58,4.43,392.06
PROP0307,Palam Vihar,4,3,Fully-Furnished,1957,1627,Studio,13,6,8,2,Yes,Yes,3.16,2.43,1.15,226.8
PROP0308,Sector 45,1,3,Semi-Furnished,3412,2829,Penthouse,16,11,15,3,Yes,No,1.48,2.4,3.21,603.93
PROP0309,Sector 45,2,3,Semi-Furnished,4968,4062,Independent House,18,9,18,3,Yes,Yes,1.95,0.47,3.83,824.41
PROP0310,Golf Course Road,3,4,Fully-Furnished,2422,1996,Penthouse,5,4,12,1,No,Yes,0.6,1.26,4.93,571.4
PROP0311,Sector 56,2,1,Unfurnished,3210,2663,Penthouse,3,11,14,1,Yes,Yes,3.62,0.59,0.98,775.13
PROP0312,Sector 45,2,1,Unfurnished,2545,2096,Builder Floor,6,17,18,1,No,No,2.57,0.84,3.85,398.37
PROP0313,Sector 57,3,2,Semi-Furnished,4358,3638,Studio,18,9,10,0,No,Yes,3.57,0.86,1.76,500.95
PROP0314,Palam Vihar,2,3,Semi-Furnished,4589,3770,Apartment,16,5,11,1,No,No,1.32,1.71,0.96,405.94
PROP0315,Sector 45,3,2,Unfurnished,4484,3632,Studio,15,11,14,0,Yes,No,1.69,1.29,2.16,536.11
PROP0316,Sector 45,1,2,Fully-Furnished,4892,3965,Penthouse,14,6,10,3,No,No,1.74,2.85,3.99,935.47
PROP0317,Sector 56,3,1,Semi-Furnished,915,732,Studio,7,17,18,2,Yes,Yes,0.23,0.47,2.38,153.09
PROP0318,Golf Course Road,3,4,Unfurnished,4327,3526,Builder Floor,18,1,9,3,Yes,Yes,1.77,2.92,2.73,457.47
PROP0319,Golf Course Road,4,4,Semi-Furnished,3957,3313,Apartment,7,9,10,3,Yes,Yes,4.04,0.77,4.98,576.05
PROP0320,Sushant Lok,3,1,Fully-Furnished,1760,1477,Builder Floor,17,14,19,3,No,No,4.5,2.34,2.06,161.67
PROP0321,Sector 56,3,4,Unfurnished,4816,3901,Apartment,15,11,17,1,No,Yes,2.64,1.08,3.12,592.18
PROP0322,Sector 57,1,2,Semi-Furnished,1422,1205,Penthouse,19,16,18,1,Yes,No,2.33,0.51,1.89,229.79
PROP0323,Golf Course Road,4,3,Fully-Furnished,3654,3014,Apartment,18,3,10,1,No,Yes,0.25,2.59,2.02,450.65
PROP0324,Palam Vihar,5,1,Semi-Furnished,1744,1475,Apartment,9,6,13,2,No,Yes,4.41,1.0,3.51,224.39
PROP0325,Sector 56,1,3,Fully-Furnished,2611,2181,Apartment,16,8,9,1,No,Yes,0.16,2.01,4.7,324.74
PROP0326,Sector 45,1,4,Fully-Furnished,3820,3193,Studio,12,18,22,0,Yes,Yes,4.73,1.74,2.76,490.12
PROP0327,Palam Vihar,5,3,Unfurnished,3165,2545,Studio,12,6,10,3,No,No,2.5,1.47,3.87,303.83
PROP0328,Palam Vihar,3,4,Fully-Furnished,2595,2104,Penthouse,6,1,6,2,No,No,1.78,1.54,0.54,524.76
PROP0329,Sector 45,2,4,Semi-Furnished,2170,1736,Apartment,9,5,6,2,Yes,No,4.63,2.22,1.13,322.34
PROP0330,Sector 56,4,2,Fully-Furnished,4326,3615,Independent House,1,17,18,2,No,No,0.22,0.35,2.56,1268.94
PROP0331,Sector 45,2,4,Fully-Furnished,1404,1147,Penthouse,3,5,12,2,Yes,Yes,2.95,2.04,0.2,430.79
PROP0332,Sushant Lok,5,2,Unfurnished,2606,2187,Apartment,5,12,21,2,No,No,2.79,2.7,1.34,297.15
PROP0333,Palam Vihar,1,2,Fully-Furnished,4595,3753,Apartment,17,18,19,0,No,No,1.17,0.27,2.64,394.72
PROP0334,DLF Phase 1,1,2,Fully-Furnished,4352,3659,Studio,5,1,3,3,No,No,2.2,0.51,0.17,386.11
PROP0335,DLF Phase 1,4,1,Semi-Furnished,2483,2002,Penthouse,16,11,17,2,No,Yes,3.3,2.18,1.4,322.4
PROP0336,Sector 57,1,1,Unfurnished,4005,3238,Apartment,13,14,20,3,No,No,3.66,1.37,2.62,426.47
PROP0337,Golf Course Road,1,4,Unfurnished,4257,3478,Apartment,10,13,15,1,No,No,0.1,1.27,2.91,412.26
PROP0338,Sector 45,4,2,Unfurnished,4533,3718,Penthouse,18,5,14,2,Yes,Yes,4.69,0.5,4.64,860.49
PROP0339,Sector 45,4,1,Fully-Furnished,3086,2522,Independent House,1,17,21,2,No,Yes,0.91,1.57,3.26,966.03
PROP0340,Sector 57,5,2,Unfurnished,1658,1389,Penthouse,2,4,11,3,No,No,1.24,0.47,2.13,499.96
PROP0341,Sector 57,1,3,Fully-Furnished,1872,1506,Penthouse,10,17,23,2,No,No,1.39,1.48,4.66,397.94
PROP0342,Sector 57,1,3,Fully-Furnished,2041,1668,Independent House,5,2,5,2,Yes,Yes,0.29,2.31,3.95,476.43
PROP0343,Palam Vihar,5,3,Semi-Furnished,3293,2772,Penthouse,13,2,10,2,Yes,No,0.7,0.85,1.08,636.79
PROP0344,Sushant Lok,3,4,Semi-Furnished,937,752,Apartment,18,9,16,0,Yes,Yes,4.93,1.49,0.74,77.65
PROP0345,Sector 45,3,2,Semi-Furnished,3471,2940,Penthouse,15,18,27,0,No,No,1.64,2.98,3.41,703.82
PROP0346,Palam Vihar,3,3,Semi-Furnished,2330,1978,Independent House,6,2,5,2,No,No,0.66,2.09,2.84,372.07
PROP0347,Sector 57,5,1,Semi-Furnished,2040,1641,Builder Floor,7,11,12,0,Yes,No,0.62,2.54,3.97,454.16
PROP0348,Sector 45,1,3,Fully-Furnished,4493,3659,Penthouse,18,15,17,1,Yes,No,3.63,1.3,3.72,784.98
PROP0349,Palam Vihar,5,3,Fully-Furnished,2732,2236,Studio,19,16,17,2,Yes,No,4.29,2.33,3.16,259.05
PROP0350,Sushant Lok,5,3,Unfurnished,1199,1005,Apartment,15,6,11,1,No,Yes,1.36,0.22,4.93,113.67
PROP0351,Palam Vihar,3,4,Fully-Furnished,4272,3544,Apartment,6,12,14,3,Yes,Yes,0.2,0.46,2.71,648.49
PROP0352,Sushant Lok,2,1,Fully-Furnished,1000,832,Studio,8,1,4,1,No,No,1.19,0.69,0.65,97.71
PROP0353,Sector 57,1,2,Semi-Furnished,3852,3227,Studio,12,3,11,3,No,No,0.38,1.27,4.16,439.95
PROP0354,Sushant Lok,3,1,Fully-Furnished,4050,3263,Penthouse,0,9,14,2,No,No,0.61,2.55,1.33,838.78
PROP0355,Sector 45,2,2,Semi-Furnished,2280,1918,Studio,7,6,10,3,Yes,Yes,2.21,1.1,3.91,347.57
PROP0356,Sector 57,2,4,Unfurnished,4264,3561,Builder Floor,3,16,21,3,No,Yes,1.23,2.0,4.79,743.01
PROP0357,Sector 45,4,4,Unfurnished,2965,2457,Independent House,2,19,25,1,Yes,Yes,2.63,2.16,3.51,761.11
PROP0358,DLF Phase 1,1,4,Fully-Furnished,2745,2318,Studio,2,5,12,1,Yes,Yes,1.34,1.8,3.02,279.56
PROP0359,Sector 56,2,4,Unfurnished,990,826,Studio,12,18,27,1,Yes,Yes,4.71,1.14,2.36,111.05
PROP0360,Sushant Lok,3,2,Fully-Furnished,2018,1634,Builder Floor,7,4,5,2,Yes,Yes,4.54,1.77,1.89,268.09
PROP0361,Sector 56,4,3,Unfurnished,4710,3869,Apartment,6,9,13,2,No,Yes,2.88,1.09,1.83,790.41
PROP0362,Sector 56,1,2,Semi-Furnished,2445,2016,Apartment,0,8,17,1,No,Yes,1.84,0.34,3.22,409.12
PROP0363,Sushant Lok,5,1,Semi-Furnished,3096,2485,Penthouse,15,12,17,2,No,No,1.97,2.98,3.78,448.21
PROP0364,Sector 57,3,4,Semi-Furnished,3034,2572,Builder Floor,5,18,26,2,No,Yes,2.12,0.47,3.42,610.1
PROP0365,DLF Phase 1,2,4,Semi-Furnished,3279,2644,Independent House,6,5,6,3,Yes,Yes,3.67,0.31,1.07,435.97
PROP0366,Sector 45,2,1,Fully-Furnished,1057,882,Independent House,11,3,7,3,Yes,Yes,2.31,2.65,2.52,229.47
PROP0367,Palam Vihar,3,2,Unfurnished,2321,1915,Builder Floor,8,2,11,1,Yes,Yes,4.3,0.98,3.98,277.75
PROP0368,Sector 45,2,3,Fully-Furnished,3837,3074,Independent House,10,2,3,2,Yes,No,4.73,1.99,2.43,778.35
PROP0369,Palam Vihar,4,3,Semi-Furnished,1642,1389,Apartment,9,3,4,3,No,Yes,1.75,1.05,2.73,210.27
PROP0370,Sector 45,1,1,Fully-Furnished,1655,1394,Independent House,0,4,8,0,Yes,No,2.85,1.24,3.88,397.72
PROP0371,Sushant Lok,4,3,Unfurnished,842,695,Independent House,17,7,10,2,No,No,0.57,0.86,3.34,89.29
PROP0372,DLF Phase 1,2,2,Fully-Furnished,2637,2139,Builder Floor,3,15,22,0,Yes,No,1.08,1.09,2.11,341.3
PROP0373,Palam Vihar,5,2,Unfurnished,4507,3633,Builder Floor,4,2,5,1,Yes,Yes,2.13,1.29,4.49,707.94
PROP0374,Golf Course Road,1,1,Fully-Furnished,1017,832,Independent House,8,11,12,2,Yes,Yes,1.11,2.19,0.9,176.21
PROP0375,Sector 57,1,2,Unfurnished,1602,1302,Studio,16,7,9,1,Yes,Yes,4.4,1.58,4.98,149.03
PROP0376,Sector 45,3,4,Unfurnished,2102,1734,Builder Floor,2,12,16,1,No,No,0.88,2.84,0.68,407.59
PROP0377,Sector 45,3,1,Semi-Furnished,3873,3285,Penthouse,15,3,4,1,No,No,2.33,0.22,0.17,822.85
PROP0378,Palam Vihar,5,2,Unfurnished,3490,2892,Penthouse,4,13,14,1,No,No,3.07,1.56,4.46,663.12
PROP0379,Sector 57,1,1,Semi-Furnished,2546,2150,Apartment,15,13,21,1,No,No,3.49,1.79,1.3,285.75
PROP0380,Sector 57,5,3,Semi-Furnished,3988,3320,Independent House,2,12,19,2,Yes,Yes,1.98,2.77,3.68,1196.74
PROP0381,Sushant Lok,3,2,Semi-Furnished,3360,2767,Studio,19,5,13,0,Yes,Yes,4.36,0.24,4.07,240.61
PROP0382,Golf Course Road,3,4,Fully-Furnished,4563,3845,Apartment,14,16,20,2,No,Yes,2.88,1.76,4.31,548.42
PROP0383,Sushant Lok,1,2,Fully-Furnished,4235,3487,Independent House,2,3,9,2,No,No,2.25,2.58,4.96,574.83
PROP0384,Sushant Lok,4,1,Fully-Furnished,1861,1569,Builder Floor,19,7,10,2,Yes,No,0.43,0.8,1.54,202.02
PROP0385,Sushant Lok,2,1,Fully-Furnished,1940,1580,Penthouse,13,16,24,3,Yes,Yes,2.38,2.64,3.58,284.82
PROP0386,Sushant Lok,3,2,Unfurnished,1326,1069,Studio,15,2,6,3,No,Yes,4.12,0.16,0.67,96.69
PROP0387,Sushant Lok,3,4,Unfurnished,2215,1866,Penthouse,16,16,19,2,No,No,3.11,2.22,2.09,245.72
PROP0388,DLF Phase 1,4,4,Fully-Furnished,4998,4145,Builder Floor,19,8,12,0,No,Yes,4.18,2.81,4.26,448.07
PROP0389,Sector 57,4,4,Unfurnished,2504,2114,Independent House,17,1,7,2,Yes,Yes,2.52,2.01,1.9,444.85
PROP0390,Sushant Lok,5,1,Unfurnished,1726,1461,Builder Floor,17,12,19,1,No,No,0.68,1.37,3.0,165.29
PROP0391,Sector 57,5,2,Semi-Furnished,4002,3212,Builder Floor,13,19,26,3,No,No,0.17,0.23,2.57,765.24
PROP0392,Sector 57,2,3,Semi-Furnished,3078,2539,Penthouse,17,1,5,3,No,No,1.59,2.77,3.27,538.27
PROP0393,Sector 56,2,1,Semi-Furnished,1428,1169,Studio,14,19,27,2,No,Yes,3.52,1.46,4.87,158.44
PROP0394,DLF Phase 1,1,4,Semi-Furnished,2398,1993,Builder Floor,14,10,17,2,No,No,3.97,0.18,0.37,183.87
PROP0395,Sushant Lok,5,2,Unfurnished,2540,2132,Penthouse,5,14,16,0,Yes,Yes,1.55,2.1,2.91,486.7
PROP0396,Sector 45,3,4,Fully-Furnished,3966,3228,Studio,14,10,18,0,No,Yes,2.53,1.5,4.33,561.14
PROP0397,Palam Vihar,5,3,Unfurnished,886,733,Independent House,17,2,11,1,Yes,No,2.16,0.46,2.46,115.65
PROP0398,Golf Course Road,3,4,Unfurnished,1929,1611,Independent House,3,2,7,2,No,Yes,2.11,0.72,0.48,350.28
PROP0399,Sector 45,4,4,Unfurnished,2973,2398,Apartment,7,11,15,2,No,No,1.23,0.29,2.85,503.91
PROP0400,DLF Phase 1,5,3,Semi-Furnished,1929,1621,Penthouse,14,4,8,2,No,No,0.77,1.77,1.73,285.51
PROP0401,Palam Vihar,4,2,Semi-Furnished,3439,2855,Studio,2,19,23,3,Yes,Yes,1.06,1.9,0.86,499.36
PROP0402,DLF Phase 1,2,1,Semi-Furnished,2823,2392,Builder Floor,14,6,12,1,Yes,Yes,0.37,1.57,4.26,265.98
PROP0403,Sector 57,2,2,Fully-Furnished,2319,1894,Independent House,12,6,10,0,Yes,No,1.07,2.47,2.66,472.98
PROP0404,Palam Vihar,1,3,Unfurnished,4786,3854,Studio,8,12,19,3,No,No,0.15,2.6,4.67,383.11
PROP0405,Sector 57,5,4,Fully-Furnished,3455,2851,Penthouse,1,8,15,3,No,No,3.17,1.89,4.05,1184.53
PROP0406,Sector 45,4,2,Semi-Furnished,1345,1081,Apartment,7,12,17,3,Yes,No,1.65,0.14,3.5,259.68
PROP0407,Sector 45,3,1,Fully-Furnished,3152,2674,Independent House,19,11,16,3,Yes,No,4.87,2.12,0.12,547.11
PROP0408,Palam Vihar,2,3,Unfurnished,4079,3271,Studio,16,12,20,1,No,No,1.05,1.31,2.2,294.33
PROP0409,Palam Vihar,2,2,Unfurnished,3775,3162,Studio,12,9,16,2,Yes,Yes,1.79,1.74,1.07,332.94
PROP0410,Sushant Lok,3,1,Semi-Furnished,1522,1257,Studio,0,0,7,0,No,Yes,1.85,1.98,4.56,172.66
